Area_1;Area_2;Dirt;B_cells;CD4;CD8;epithelial;LP;lymphocytes;macrophages;monocytes;muscular;epithel_prolif;strong_infiltrate;T_cells;Tregs;B_cells_2;T_cells_2;Monocytes_2;Macrophages_2
443;734;;;;;10994;393;1415;;;1795;12585;12191;;;;6329;16249;11352
446;737;;;;;10995;395;1417;;;1797;12593;12193;;;;6367;16270;11360
447;740;;;;;10996;396;1420;;;1802;12597;12200;;;;6376;16301;11397
449;741;;;;;10997;401;1422;;;1806;12605;12202;;;;6500;16335;11406
450;743;;;;;10998;402;1424;;;1807;12606;12204;;;;6552;16338;11413
452;744;;;;;10999;403;1433;;;1808;12607;12205;;;;6640;16458;11424
454;745;;;;;11000;406;1437;;;1820;12608;12216;;;;6649;16600;11457
455;749;;;;;11001;407;1441;;;1831;12609;12217;;;;6657;16637;11465
456;752;;;;;11004;408;1450;;;1837;12615;12219;;;;6685;16675;11482
459;753;;;;;11006;409;1451;;;1843;12625;12225;;;;6706;16751;11516
460;754;;;;;11007;410;1453;;;1848;12630;12231;;;;6720;16940;11517
462;755;;;;;11008;411;1455;;;1851;12634;12236;;;;6757;17143;11524
463;756;;;;;11009;412;1457;;;1856;12635;12238;;;;6780;17288;11530
464;757;;;;;11011;414;1463;;;1866;12642;12245;;;;6787;17964;11538
465;759;;;;;11012;415;1465;;;1874;12643;12246;;;;6840;17975;11549
466;760;;;;;11013;416;1469;;;1876;12657;12248;;;;6857;18116;11569
468;761;;;;;11014;418;1470;;;1879;12659;12249;;;;6900;18493;11570
469;767;;;;;11015;419;1473;;;1884;12660;12261;;;;6915;18516;11765
471;769;;;;;11016;420;1474;;;1885;12676;12264;;;;6921;;11773
473;774;;;;;11017;421;1476;;;1892;12680;12265;;;;6923;;11789
475;775;;;;;11018;422;1480;;;1901;12698;12266;;;;6939;;11817
476;776;;;;;11019;423;1482;;;1905;12700;12274;;;;6948;;11874
477;779;;;;;11020;424;1488;;;1908;12709;12279;;;;6949;;11878
478;780;;;;;11021;426;1494;;;1911;12712;12283;;;;6992;;11900
479;781;;;;;11022;427;1498;;;1912;12713;12284;;;;7017;;11903
482;783;;;;;11023;428;1499;;;1913;12714;12287;;;;7064;;11914
484;788;;;;;11024;430;1500;;;1918;12721;12288;;;;7080;;12091
485;789;;;;;11025;431;1502;;;1919;12724;12289;;;;7128;;12113
486;790;;;;;11027;433;1505;;;1921;12734;12306;;;;7136;;12209
487;793;;;;;11028;435;1508;;;1926;12737;12311;;;;7193;;12541
488;794;;;;;11030;436;1513;;;1929;12739;12314;;;;7251;;12746
489;796;;;;;11031;438;1515;;;1932;12746;12315;;;;7272;;12831
493;799;;;;;11032;439;1517;;;1937;12749;12316;;;;7286;;12945
494;802;;;;;11033;440;1519;;;1941;12752;12324;;;;7300;;13224
495;805;;;;;11034;441;1520;;;1950;12754;12325;;;;7303;;13445
496;809;;;;;11035;442;1521;;;1956;12761;12326;;;;7377;;13461
497;810;;;;;11036;447;1527;;;1957;12766;12331;;;;7387;;13465
498;811;;;;;11037;448;1529;;;1959;12772;12336;;;;7389;;13581
499;812;;;;;11038;449;1535;;;1966;12776;12344;;;;7403;;13660
502;813;;;;;11039;450;1537;;;1967;12782;12346;;;;7418;;13678
503;819;;;;;11040;452;1541;;;1978;12791;12347;;;;7423;;13764
504;820;;;;;11041;453;1542;;;1982;12795;12348;;;;7432;;13824
505;821;;;;;11042;454;1547;;;1994;12796;12352;;;;7454;;13883
506;825;;;;;11043;455;1548;;;1996;12797;12356;;;;7466;;14148
507;828;;;;;11044;456;1550;;;1998;12806;12357;;;;7475;;14384
509;829;;;;;11045;457;1555;;;1999;12807;12362;;;;7491;;14823
510;830;;;;;11046;458;1559;;;2003;12808;12366;;;;7492;;14897
512;831;;;;;11047;459;1560;;;2007;12815;12368;;;;7523;;15097
515;835;;;;;11048;460;1566;;;2013;12817;12378;;;;7524;;15101
516;836;;;;;11049;462;1569;;;2014;12823;12379;;;;7545;;15181
517;837;;;;;11050;463;1570;;;2021;12835;12381;;;;7568;;15241
518;840;;;;;11051;464;1573;;;2023;12840;12382;;;;7590;;15347
519;841;;;;;11052;465;1575;;;2025;12842;12386;;;;7650;;15557
522;846;;;;;11053;466;1578;;;2029;12848;12387;;;;7669;;15570
